Day of Year,Wind Speed (m/s),Wind Power (MW)
204.139,2.70,1.04
204.146,2.51,0.59
204.153,2.59,0.86
204.160,2.54,0.51
204.167,2.40,0.16
204.174,2.51,0.33
204.181,2.42,0.32
204.187,2.14,0.00
204.194,2.09,0.00
204.201,2.17,0.00
204.208,2.18,0.00
204.215,2.28,0.00
204.222,2.41,0.00
204.229,2.21,0.00
204.236,2.03,0.00
204.243,2.11,0.00
204.250,2.19,0.00
204.257,2.34,0.00
204.264,2.25,0.00
204.271,2.17,0.00
204.278,2.22,0.00
204.285,2.16,0.00
204.292,2.03,0.00
204.299,2.00,0.00
204.306,1.79,0.00
204.312,1.40,0.00
204.319,1.07,0.00
204.326,1.08,0.00
204.333,1.26,0.00
204.340,1.21,0.00
204.347,1.04,0.00
204.354,1.03,0.00
204.361,1.08,0.00
204.368,1.06,0.00
204.375,1.30,0.00
204.382,1.43,0.00
204.389,1.31,0.00
204.396,1.47,0.00
204.403,1.50,0.00
204.410,1.39,0.00
204.417,1.39,0.00
204.424,1.52,0.00
204.431,1.75,0.00
204.437,1.81,0.00
204.444,1.72,0.00
204.451,1.59,0.00
204.458,1.70,0.00
204.465,1.89,0.00
204.472,2.02,0.00
204.479,2.42,0.00
204.486,2.56,0.00
204.493,2.35,0.00
204.500,2.22,0.00
204.507,2.09,0.00
204.514,2.19,0.00
204.521,2.44,0.00
204.528,2.49,0.00
204.535,2.39,0.00
204.542,2.35,0.00
204.549,2.42,0.00
204.556,2.68,0.00
204.562,2.71,0.00
204.569,2.71,0.00
204.576,2.73,0.00
204.583,2.67,0.00
204.590,2.65,0.00
204.597,2.70,0.00
204.604,2.88,0.00
204.611,2.95,0.12
204.618,2.89,0.05
204.625,2.81,0.00
204.632,2.86,0.16
204.639,2.87,0.34
204.646,2.85,0.30
204.653,2.85,0.37
204.660,2.86,0.57
204.667,2.89,0.56
204.674,2.88,0.63
204.681,2.87,0.57
204.687,2.82,0.49
204.694,2.85,0.53
204.701,2.77,0.36
204.708,2.80,0.43
204.715,2.80,0.48
204.722,2.87,0.54
204.729,2.84,0.59
204.736,2.91,0.88
204.743,2.99,1.19
204.750,3.04,1.39
204.757,3.19,1.99
204.764,3.41,3.10
204.771,3.40,3.02
204.778,3.46,3.03
204.785,3.75,4.59
204.792,3.74,4.99
204.799,3.81,5.45
204.806,3.87,5.68
204.812,3.77,5.50
204.819,3.57,4.75
204.826,3.57,4.54
204.833,3.56,4.31
204.840,3.54,3.74
204.847,3.63,3.90
204.854,3.70,4.07
204.861,3.55,3.73
204.868,3.42,3.66
204.875,3.53,4.25
204.882,3.59,4.84
204.889,3.57,4.77
204.896,3.51,4.56
204.903,3.39,4.12
204.910,3.34,4.09
204.917,3.20,3.61
204.924,3.25,4.00
204.931,3.37,4.46
204.937,3.56,5.35
204.944,3.73,6.50
204.951,3.73,6.76
204.958,3.64,7.05
204.965,3.56,6.51
204.972,3.50,6.21
204.979,3.51,5.61
204.986,3.51,5.84
204.993,3.43,6.13
205.000,3.50,6.51
205.007,3.38,5.96
205.014,3.48,6.51
205.021,3.61,7.38
205.028,3.48,5.90
205.035,3.43,6.02
205.042,3.48,6.16
205.049,3.42,6.18
205.056,3.33,6.03
205.062,3.37,6.19
205.069,3.35,6.35
205.076,3.13,5.16
205.083,3.05,4.85
205.090,3.00,3.98
205.097,2.85,3.96
205.104,2.87,4.22
205.111,2.98,4.68
205.118,2.97,4.20
205.125,2.65,2.99
205.132,2.65,3.03
205.139,2.70,2.90
205.146,2.45,2.52
205.153,2.27,2.36
205.160,2.41,2.88
205.167,2.41,2.86
205.174,2.56,3.07
205.181,2.29,1.89
205.187,2.31,1.88
205.194,2.33,2.20
205.201,2.63,2.51
205.208,2.60,1.86
205.215,2.43,1.27
205.222,2.30,0.91
205.229,2.34,0.80
205.236,2.44,0.82
205.243,2.34,0.37
205.250,2.33,0.24
205.257,2.40,0.60
205.264,2.55,1.10
205.271,2.43,0.79
205.278,2.44,0.73
205.285,2.42,0.50
205.292,2.38,0.27
205.299,2.38,0.14
205.306,2.27,0.08
205.312,2.12,0.06
205.319,1.99,0.00
205.326,1.59,0.00
205.333,1.46,0.00
205.340,1.32,0.00
205.347,1.27,0.00
205.354,1.25,0.00
205.361,1.36,0.00
205.368,1.36,0.00
205.375,1.35,0.00
205.382,1.35,0.00
205.389,1.42,0.00
205.396,1.64,0.00
205.403,1.90,0.00
205.410,1.96,0.00
205.417,1.78,0.00
205.424,1.47,0.00
205.431,1.46,0.00
205.437,1.47,0.00
205.444,1.63,0.00
205.451,1.86,0.00
205.458,1.83,0.00
205.465,1.92,0.00
205.472,2.05,0.00
205.479,2.34,0.00
205.486,2.42,0.00
205.493,2.63,0.00
205.500,2.69,0.00
205.507,2.64,0.00
205.514,2.73,0.00
205.521,2.79,0.00
205.528,2.85,0.00
205.535,2.93,0.04
205.542,3.00,0.12
205.549,2.98,0.05
205.556,3.22,0.82
205.562,3.32,1.36
205.569,3.29,1.54
205.576,3.33,1.58
205.583,3.24,1.21
205.590,3.25,1.13
205.597,3.24,1.31
205.604,3.14,0.62
205.611,3.13,0.49
205.618,3.03,0.40
205.625,3.05,0.44
205.632,3.26,1.20
205.639,3.20,1.13
205.646,3.16,1.02
205.653,3.15,0.72
205.660,3.07,0.47
205.667,2.96,0.22
205.674,2.84,0.02
205.681,2.81,0.00
205.687,3.01,0.27
205.694,2.95,0.17
205.701,2.72,0.00
205.708,2.59,0.00
205.715,2.53,0.00
205.722,2.55,0.00
205.729,2.61,0.00
205.736,2.79,0.13
205.743,2.84,0.26
205.750,2.78,0.00
205.757,2.63,0.00
205.764,2.74,0.00
205.771,2.77,0.00
205.778,2.89,0.00
205.785,2.91,0.00
205.792,2.75,0.00
205.799,2.78,0.00
205.806,2.97,0.00
205.812,3.05,0.19
205.819,3.00,0.19
205.826,3.09,0.47
205.833,3.20,0.91
205.840,3.24,1.08
205.847,3.09,0.57
205.854,3.14,0.90
205.861,3.11,1.42
205.868,2.97,0.87
205.875,2.88,0.76
205.882,2.85,1.08
205.889,3.00,2.20
205.896,2.85,1.64
205.903,3.07,2.45
205.910,3.35,3.68
205.917,3.51,3.93
205.924,3.72,5.09
205.931,3.80,5.96
205.937,3.41,5.09
205.944,2.38,1.48
205.951,1.66,0.00
205.958,2.26,0.01
205.965,2.57,1.55
205.972,2.26,0.83
205.979,2.34,0.46
205.986,2.58,1.29
205.993,2.72,1.91
206.000,2.68,1.41
206.007,2.54,1.24
206.014,2.52,1.18
206.021,2.42,1.11
206.028,2.45,1.35
206.035,2.35,0.98
206.042,2.39,0.90
206.049,2.27,0.53
206.056,2.01,0.06
206.062,1.98,0.00
206.069,1.93,0.00
206.076,1.90,0.00
206.083,1.83,0.00
206.090,2.02,0.00
206.097,2.40,0.00
206.104,2.53,0.00
206.111,2.59,0.07
206.118,2.63,0.01
206.125,2.63,0.00
206.132,2.78,0.21
206.139,2.75,0.16
206.146,2.64,0.00
206.153,2.43,0.00
206.160,2.39,0.00
206.167,2.32,0.00
206.174,1.87,0.00
206.181,1.72,0.00
206.187,1.71,0.00
206.194,1.77,0.00
206.201,2.05,0.45
206.208,2.24,0.69
206.215,2.55,1.24
206.222,3.10,2.63
206.229,2.93,2.64
206.236,2.92,3.67
206.243,2.87,3.82
206.250,2.61,3.32
206.257,2.61,3.43
206.264,2.90,3.73
206.271,3.04,3.46
206.278,3.31,4.34
206.285,3.20,3.86
206.292,3.14,3.62
206.299,3.01,2.65
206.306,2.89,2.06
206.312,2.95,2.37
206.319,3.01,2.22
206.326,2.87,2.04
206.333,3.13,2.43
206.340,3.27,2.59
206.347,3.17,1.92
206.354,3.15,2.11
206.361,3.15,2.09
206.368,3.09,1.55
206.375,3.01,0.67
206.382,2.81,0.33
206.389,2.51,0.00
206.396,2.11,0.00
206.403,2.04,0.00
206.410,2.09,0.00
206.417,2.25,0.00
206.424,2.41,0.00
206.431,2.48,0.00
206.437,2.38,0.00
206.444,2.41,0.00
206.451,2.57,0.00
206.458,2.61,0.00
206.465,2.59,0.00
206.472,2.60,0.00
206.479,2.78,0.29
206.486,2.95,1.09
206.493,2.98,0.64
206.500,3.13,1.02
206.507,3.13,1.33
206.514,2.97,0.91
206.521,2.92,0.63
206.528,2.91,0.52
206.535,2.83,0.08
206.542,2.68,0.01
206.549,2.75,0.18
206.556,2.82,0.28
206.562,2.96,0.73
206.569,3.01,1.05
206.576,2.82,0.45
206.583,2.85,0.57
206.590,2.89,0.73
206.597,2.99,1.38
206.604,3.08,1.69
206.611,3.42,3.15
206.618,3.64,4.26
206.625,3.69,4.21
206.632,3.81,5.45
206.639,3.93,6.41
206.646,4.30,9.17
206.653,4.56,11.46
206.660,5.03,15.06
206.667,5.10,16.15
206.674,4.93,15.38
206.681,5.03,16.94
206.687,5.26,19.13
206.694,5.53,22.87
206.701,5.57,23.47
206.708,5.70,24.61
206.715,5.75,25.92
206.722,5.87,28.25
206.729,5.86,28.29
206.736,5.83,29.11
206.743,5.85,29.85
206.750,5.92,31.15
206.757,6.24,36.52
206.764,6.62,42.70
206.771,6.56,41.84
206.778,6.23,36.36
206.785,6.15,35.79
206.792,6.08,35.52
206.799,6.11,36.87
206.806,6.24,38.08
206.812,6.24,38.30
206.819,6.23,36.81
206.826,6.05,35.26
206.833,5.89,35.89
206.840,5.95,35.86
206.847,5.47,29.12
206.854,5.37,27.08
206.861,5.41,26.93
206.868,5.28,25.82
206.875,5.26,24.38
206.882,5.08,23.07
206.889,5.00,22.22
206.896,4.47,15.97
206.903,4.29,12.93
206.910,4.36,13.27
206.917,4.07,9.43
206.924,4.34,10.65
206.931,4.49,12.46
206.937,4.35,11.29
206.944,4.56,12.98
206.951,4.50,12.74
206.958,4.11,9.73
206.965,3.90,7.28
206.972,3.63,4.48
206.979,3.39,2.56
206.986,3.37,1.88
206.993,3.31,1.64
207.000,3.32,1.59
207.007,3.28,1.44
207.014,3.29,1.43
207.021,3.05,0.68
207.028,3.07,0.38
207.035,2.87,0.00
207.042,2.83,0.00
207.049,2.86,0.00
207.056,2.86,0.00
207.062,2.86,0.00
207.069,3.03,0.00
207.076,2.87,0.00
207.083,2.47,0.00
207.090,2.44,0.00
207.097,2.49,0.00
207.104,2.44,0.00
207.111,2.35,0.00
207.118,2.32,0.00
207.125,2.19,0.00
207.132,1.92,0.00
207.139,1.91,0.00
207.146,1.96,0.00
207.153,1.95,0.00
207.160,1.99,0.00
207.167,2.01,0.00
207.174,1.81,0.00
207.181,1.78,0.00
207.187,1.92,0.00
207.194,1.68,0.00
207.201,1.60,0.00
207.208,1.50,0.00
207.215,1.54,0.00
207.222,1.39,0.00
207.229,1.30,0.00
207.236,1.11,0.00
207.243,1.52,0.00
207.250,1.31,0.00
207.257,1.12,0.00
207.264,1.31,0.00
207.271,1.43,0.00
207.278,1.51,0.00
207.285,1.54,0.00
207.292,1.59,0.00
207.299,1.49,0.00
207.306,1.25,0.00
207.312,1.23,0.00
207.319,1.11,0.00
207.326,1.15,0.00
207.333,1.22,0.00
207.340,1.44,0.00
207.347,1.56,0.00
207.354,1.64,0.00
207.361,1.55,0.00
207.368,1.49,0.00
207.375,1.38,0.00
207.382,1.31,0.00
207.389,1.37,0.00
207.396,1.32,0.00
207.403,1.56,0.00
207.410,1.76,0.00
207.417,1.78,0.00
207.424,1.99,0.00
207.431,2.14,0.00
207.437,2.24,0.00
207.444,2.19,0.00
207.451,2.30,0.00
207.458,2.52,0.00
207.465,2.60,0.00
207.472,2.44,0.00
207.479,2.40,0.00
207.486,2.29,0.00
207.493,2.26,0.00
207.500,2.25,0.00
207.507,2.32,0.00
207.514,2.39,0.00
207.521,2.45,0.00
207.528,2.45,0.00
207.535,2.72,0.00
207.542,2.61,0.00
207.549,2.46,0.00
207.556,2.69,0.00
207.562,2.93,0.50
207.569,2.99,0.48
207.576,3.04,0.60
207.583,3.24,2.04
207.590,3.51,3.29
207.597,3.89,5.28
207.604,3.98,6.07
207.611,4.09,7.13
207.618,4.09,7.30
207.625,4.27,8.75
207.632,4.54,11.15
207.639,4.58,11.62
207.646,4.36,9.36
207.653,4.42,9.94
207.660,4.35,9.29
207.667,4.24,8.30
207.674,4.26,8.56
207.681,4.36,8.97
207.687,4.43,9.79
207.694,4.52,10.40
207.701,4.58,11.07
207.708,4.41,9.89
207.715,4.49,10.14
207.722,4.36,9.07
207.729,4.28,8.27
207.736,4.30,8.33
207.743,4.17,7.38
207.750,4.13,7.12
207.757,4.36,8.88
207.764,4.56,10.89
207.771,4.59,11.77
207.778,4.40,10.09
207.785,4.30,8.93
207.792,4.52,10.46
207.799,4.60,10.91
207.806,4.85,13.39
207.812,4.96,14.33
207.819,5.11,15.78
207.826,5.09,15.95
207.833,5.29,17.97
207.840,5.23,17.99
207.847,5.16,17.57
207.854,4.66,12.51
207.861,4.58,10.96
207.868,4.66,11.87
207.875,4.70,12.04
207.882,4.83,13.42
207.889,5.21,17.57
207.896,5.58,22.11
207.903,5.59,22.67
207.910,5.71,23.97
207.917,5.56,22.34
207.924,5.65,22.90
207.931,5.62,22.83
207.937,5.56,22.88
207.944,5.09,17.87
207.951,4.83,13.80
207.958,4.71,12.15
207.965,4.55,10.79
207.972,4.41,9.41
207.979,4.22,8.00
207.986,4.30,8.51
207.993,4.10,7.56
208.000,4.05,7.38
208.007,3.94,5.76
208.014,3.68,4.00
208.021,3.51,2.97
208.028,3.59,2.83
208.035,3.76,4.72
208.042,3.79,4.81
208.049,3.97,6.15
208.056,3.73,4.33
208.062,3.69,3.88
208.069,3.50,2.69
208.076,3.50,2.45
208.083,3.17,1.04
208.090,3.10,0.77
208.097,3.13,1.19
208.104,3.12,0.56
208.111,2.99,0.38
208.118,3.05,0.07
208.125,3.06,0.22
208.132,2.74,0.00
208.139,2.53,0.00
208.146,2.55,0.00
208.153,2.30,0.00
208.160,2.18,0.00
208.167,2.17,0.00
208.174,2.05,0.00
208.181,1.75,0.00
208.187,1.50,0.00
208.194,1.20,0.00
208.201,1.14,0.00
208.208,1.00,0.00
208.215,0.83,0.00
208.222,0.65,0.00
208.229,0.82,0.00
208.236,0.92,0.00
208.243,0.91,0.00
208.250,0.75,0.00
208.257,0.73,0.00
208.264,0.72,0.00
208.271,0.83,0.00
208.278,0.71,0.00
208.285,0.68,0.00
208.292,0.76,0.00
208.299,1.22,0.00
208.306,1.68,0.00
208.312,1.81,0.00
208.319,1.96,0.00
208.326,1.94,0.00
208.333,2.24,0.00
208.340,2.57,0.00
208.347,2.99,0.11
208.354,3.15,0.67
208.361,2.97,0.20
208.368,2.90,0.15
208.375,2.65,0.00
208.382,3.00,0.26
208.389,3.01,0.37
208.396,2.92,0.39
208.403,2.59,0.00
208.410,2.57,0.00
208.417,2.71,0.00
208.424,2.87,0.07
208.431,2.79,0.44
208.437,2.69,0.00
208.444,2.51,0.00
208.451,2.35,0.00
208.458,2.64,0.00
208.465,2.89,0.00
208.472,2.68,0.00
208.479,2.55,0.00
208.486,2.97,0.38
208.493,3.30,1.44
208.500,3.13,0.70
208.507,3.30,1.10
208.514,3.09,0.38
208.521,3.30,1.46
208.528,3.20,1.09
208.535,3.13,0.52
208.542,3.28,1.13
208.549,3.09,0.51
208.556,3.33,1.59
208.562,3.52,3.12
208.569,3.86,5.48
208.576,4.29,8.35
208.583,4.49,9.52
208.590,4.52,9.87
208.597,4.22,7.67
208.604,4.27,8.13
208.611,4.15,7.57
208.618,4.16,7.64
208.625,4.47,10.37
208.632,4.71,12.31
208.639,4.48,9.86
208.646,4.21,7.76
208.653,3.79,4.77
208.660,3.91,5.65
208.667,4.03,6.86
208.674,3.95,6.19
208.681,4.07,7.14
208.687,4.19,7.59
208.694,4.50,10.44
208.701,4.62,10.89
208.708,4.34,8.93
208.715,4.00,6.43
208.722,3.98,6.25
208.729,4.18,7.39
208.736,4.38,8.77
208.743,4.31,8.04
208.750,4.26,7.82
208.757,3.80,4.68
208.764,3.44,2.29
208.771,3.62,3.25
208.778,3.75,4.29
208.785,3.60,3.37
208.792,3.51,2.98
208.799,3.37,2.07
208.806,3.42,1.99
208.812,3.41,2.05
208.819,3.18,0.76
208.826,3.08,0.54
208.833,3.08,0.37
208.840,2.95,0.03
208.847,3.02,0.00
208.854,3.00,0.26
208.861,2.97,0.35
208.868,3.25,0.91
208.875,3.28,1.38
208.882,3.27,1.58
208.889,3.22,1.30
208.896,3.22,1.26
208.903,3.29,1.88
208.910,3.33,2.10
208.917,3.16,1.39
208.924,3.04,0.66
208.931,3.03,0.82
208.937,2.91,0.32
208.944,3.05,0.84
208.951,3.28,2.27
208.958,3.33,2.61
208.965,3.37,2.65
208.972,3.48,3.25
208.979,3.53,3.92
208.986,3.63,4.31
208.993,3.71,4.66
209.000,3.67,4.29
209.007,3.60,4.16
209.014,3.57,3.46
209.021,3.47,2.90
209.028,3.69,3.97
209.035,3.59,3.99
209.042,3.44,2.52
209.049,3.29,1.49
209.056,3.36,1.94
209.062,3.44,2.35
209.069,3.48,2.50
209.076,3.45,2.47
209.083,3.59,3.35
209.090,3.59,3.55
209.097,3.46,2.77
209.104,3.53,3.08
209.111,3.61,3.62
209.118,3.60,3.42
209.125,3.55,3.55
209.132,3.57,3.63
209.139,3.47,3.05
209.146,3.43,3.02
209.153,3.61,3.80
209.160,3.58,3.82
209.167,3.54,4.27
209.174,3.60,4.18
209.181,3.63,4.97
209.187,3.53,5.03
209.194,3.40,4.48
209.201,3.19,3.08
209.208,3.08,2.89
209.215,3.05,3.39
209.222,3.15,3.55
209.229,3.42,4.12
209.236,3.77,5.24
209.243,3.98,6.49
209.250,4.13,7.30
209.257,4.27,8.02
209.264,4.40,8.68
209.271,4.13,7.28
209.278,3.81,5.09
209.285,3.65,3.98
209.292,3.72,4.05
209.299,4.05,6.41
209.306,3.94,5.95
209.312,3.71,4.29
209.319,3.87,5.11
209.326,3.94,5.30
209.333,3.90,5.17
209.340,4.03,5.86
209.347,4.07,6.50
209.354,4.22,7.65
209.361,4.39,9.21
209.368,4.50,9.77
209.375,4.49,9.59
209.382,4.56,10.64
209.389,4.74,12.17
209.396,4.57,10.58
209.403,4.58,10.52
209.410,4.55,10.15
209.417,4.69,11.27
209.424,4.95,13.87
209.431,4.97,14.63
209.437,4.76,12.08
209.444,4.71,11.56
209.451,4.97,14.17
209.458,4.81,12.53
209.465,4.67,11.48
209.472,4.66,11.12
209.479,4.41,9.32
209.486,4.54,10.16
209.493,4.68,11.46
209.500,4.73,11.66
209.507,4.59,10.79
209.514,4.97,14.04
209.521,5.47,19.17
209.528,5.93,26.07
209.535,6.22,30.67
209.542,6.20,29.51
209.549,6.29,31.91
209.556,6.50,34.78
209.562,6.73,39.07
209.569,6.74,39.23
209.576,6.32,32.65
209.583,6.32,32.11
209.590,6.42,33.41
209.597,6.44,33.64
209.604,6.81,41.48
209.611,6.94,43.42
209.618,6.75,39.70
209.625,6.35,33.97
209.632,6.27,32.21
209.639,6.27,31.36
209.646,6.21,31.23
209.653,6.36,33.74
209.660,5.98,27.30
209.667,5.69,23.53
209.674,5.47,20.64
209.681,5.43,19.72
209.687,5.59,21.97
209.694,5.78,24.51
209.701,5.98,27.06
209.708,6.19,31.27
209.715,6.69,39.32
209.722,6.95,44.18
209.729,6.81,42.19
209.736,6.66,39.04
209.743,6.81,41.12
209.750,6.83,41.45
209.757,6.90,42.96
209.764,6.80,42.08
209.771,6.79,40.08
209.778,7.03,44.58
209.785,6.75,39.18
209.792,6.75,39.83
209.799,6.89,41.54
209.806,6.97,42.84
209.812,7.18,47.47
209.819,7.17,48.61
209.826,6.95,44.67
209.833,6.77,41.98
209.840,6.74,41.09
209.847,7.03,44.97
209.854,7.19,48.65
209.861,7.16,47.17
209.868,7.57,54.69
209.875,8.02,63.43
209.882,8.29,68.25
209.889,8.52,71.47
209.896,8.74,74.93
209.903,8.88,77.60
209.910,9.06,80.48
209.917,8.97,79.01
209.924,8.76,74.75
209.931,8.51,72.25
209.937,8.43,70.11
209.944,8.28,67.32
209.951,7.94,62.82
209.958,7.98,63.30
209.965,7.87,62.94
209.972,7.84,61.78
209.979,7.74,59.60
209.986,7.55,57.47
209.993,7.65,60.53
210.000,7.92,64.61
210.007,8.10,67.96
210.014,7.80,63.86
210.021,7.55,60.67
210.028,7.39,57.17
210.035,7.25,53.50
210.042,7.27,53.31
210.049,7.21,51.98
210.056,7.24,52.40
210.062,7.22,52.69
210.069,7.47,56.70
210.076,7.59,59.53
210.083,7.67,60.39
210.090,7.31,53.38
210.097,7.20,50.27
210.104,7.07,48.01
210.111,6.89,45.03
210.118,6.84,43.58
210.125,6.83,42.89
210.132,6.85,42.24
210.139,6.75,42.14
210.146,6.50,38.15
210.153,6.43,37.11
210.160,6.41,35.27
210.167,6.60,39.20
210.174,6.54,37.97
210.181,6.42,35.80
210.187,6.14,31.37
210.194,5.85,26.93
210.201,5.81,26.96
210.208,5.81,26.39
210.215,5.92,26.65
210.222,5.91,27.27
210.229,5.89,26.95
210.236,6.02,29.92
210.243,6.41,35.93
210.250,6.62,39.54
210.257,6.79,41.69
210.264,6.90,43.89
210.271,6.84,41.80
210.278,6.62,38.60
210.285,6.41,34.73
210.292,6.40,33.73
210.299,6.45,35.25
210.306,6.31,33.08
210.312,6.35,33.64
210.319,6.55,36.62
210.326,6.74,40.16
210.333,6.76,40.50
210.340,6.73,40.62
210.347,6.73,40.09
210.354,6.56,36.59
210.361,6.31,33.30
210.368,6.21,30.13
210.375,5.98,27.21
210.382,5.82,24.63
210.389,5.50,20.46
210.396,5.31,17.84
210.403,4.84,12.96
210.410,4.55,9.96
210.417,4.25,7.55
210.424,3.76,4.30
210.431,3.53,2.85
210.437,3.31,1.52
210.444,3.23,0.88
210.451,3.26,1.24
210.458,3.36,2.42
210.465,3.43,2.71
210.472,3.37,2.22
210.479,3.38,2.49
210.486,3.63,4.18
210.493,3.90,6.41
210.500,4.15,8.50
210.507,4.37,9.81
210.514,4.55,10.92
210.521,4.74,12.50
210.528,4.74,12.64
210.535,4.51,10.79
210.542,4.50,10.38
210.549,4.64,11.81
210.556,4.71,12.26
210.562,4.68,12.75
210.569,4.82,13.88
210.576,4.81,13.80
210.583,4.73,12.67
210.590,4.50,11.28
210.597,4.53,11.57
210.604,4.35,9.39
210.611,4.35,9.60
210.618,4.41,10.05
210.625,4.46,10.20
210.632,4.26,8.38
210.639,4.08,7.53
210.646,4.11,7.83
210.653,3.95,7.15
210.660,3.95,6.50
210.667,3.42,2.90
210.674,3.13,1.78
210.681,2.84,1.11
210.687,3.00,1.03
210.694,3.27,1.90
210.701,3.22,1.17
210.708,2.98,0.28
210.715,2.97,0.09
210.722,2.94,0.00
210.729,2.93,0.20
210.736,2.79,0.00
210.743,2.60,0.00
210.750,2.68,0.00
210.757,2.78,0.19
210.764,2.64,0.11
210.771,2.33,0.00
210.778,2.19,0.00
210.785,2.21,0.00
210.792,2.33,0.15
210.799,2.55,0.70
210.806,2.52,1.13
210.812,2.31,0.99
210.819,2.15,0.46
210.826,2.09,0.39
210.833,2.13,0.44
210.840,2.14,0.25
210.847,2.44,0.00
210.854,2.45,0.00
210.861,2.48,0.00
210.868,2.67,0.00
210.875,2.90,0.21
210.882,3.00,0.56
210.889,3.00,0.54
210.896,2.94,0.56
210.903,2.88,0.56
210.910,2.90,0.38
210.917,2.79,0.01
210.924,2.75,0.00
210.931,2.67,0.00
210.937,2.81,0.00
210.944,3.08,0.27
210.951,3.02,0.69
210.958,3.06,1.07
210.965,3.00,0.93
210.972,3.28,1.43
210.979,3.33,2.03
210.986,3.20,1.55
210.993,3.17,1.37
211.000,3.03,0.71
211.007,2.92,0.23
211.014,2.85,0.14
211.021,2.64,0.00
211.028,2.65,0.00
211.035,2.57,0.00
211.042,2.56,0.00
211.049,2.79,0.00
211.056,3.15,0.76
211.062,2.90,0.58
211.069,2.74,0.33
211.076,2.58,0.03
211.083,2.58,0.00
211.090,2.53,0.00
211.097,2.53,0.00
211.104,2.45,0.00
211.111,2.20,0.00
211.118,2.29,0.00
211.125,2.38,0.00
211.132,2.67,0.03
211.139,2.95,1.14
211.146,3.11,1.61
211.153,3.15,1.61
211.160,3.34,2.41
211.167,3.63,3.79
211.174,3.91,5.31
211.181,4.01,6.30
211.187,4.08,6.94
211.194,4.37,8.56
211.201,4.47,9.30
211.208,4.15,7.74
211.215,4.22,7.96
211.222,4.34,8.68
211.229,4.44,9.47
211.236,4.12,7.80
211.243,3.91,6.27
211.250,4.08,6.66
211.257,4.00,6.61
211.264,3.95,6.03
211.271,4.14,6.63
211.278,4.14,6.38
211.285,3.94,5.33
211.292,3.56,3.50
211.299,3.29,3.14
211.306,3.16,3.26
211.312,3.04,3.19
211.319,2.88,2.40
211.326,2.74,1.45
211.333,2.61,1.27
211.340,2.91,2.81
211.347,2.85,2.01
211.354,2.56,1.21
211.361,2.55,1.83
211.368,2.44,1.26
211.375,2.34,0.64
211.382,2.41,0.49
211.389,2.22,0.14
211.396,2.11,0.00
211.403,2.22,0.00
211.410,2.40,0.00
211.417,2.32,0.00
211.424,2.36,0.00
211.431,2.49,0.00
211.437,2.61,0.00
211.444,2.48,0.00
211.451,2.52,0.00
211.458,2.67,0.00
211.465,2.76,0.06
211.472,2.79,0.45
211.479,2.74,0.04
211.486,2.78,0.17
211.493,2.80,0.00
211.500,2.99,0.22
211.507,3.11,0.45
211.514,3.07,0.67
211.521,3.20,1.00
211.528,3.32,1.54
211.535,3.33,1.46
211.542,3.49,2.31
211.549,3.51,2.46
211.556,3.66,3.62
211.562,3.68,3.75
211.569,3.55,2.73
211.576,3.45,2.18
211.583,3.46,2.11
211.590,3.70,3.42
211.597,3.86,4.93
211.604,3.61,3.06
211.611,3.37,2.00
211.618,3.24,1.55
211.625,3.26,1.35
211.632,3.19,0.80
211.639,3.07,0.50
211.646,2.88,0.29
211.653,2.70,0.00
211.660,2.74,0.00
211.667,2.90,0.00
211.674,2.96,0.00
211.681,2.75,0.00
211.687,2.32,0.00
211.694,2.22,0.00
211.701,2.39,0.00
211.708,2.57,0.00
211.715,2.71,0.00
211.722,2.81,0.06
211.729,2.74,0.00
211.736,2.61,0.00
211.743,2.46,0.00
211.750,2.50,0.00
211.757,2.70,0.79
211.764,2.70,1.10
211.771,2.97,1.97
211.778,3.13,2.04
211.785,3.41,3.05
211.792,3.50,4.19
211.799,3.54,4.56
211.806,3.51,5.19
211.812,3.63,6.23
211.819,3.61,6.38
211.826,3.48,5.27
211.833,3.49,5.43
211.840,3.50,5.97
211.847,3.66,8.03
211.854,3.62,8.17
211.861,3.62,7.31
211.868,3.51,6.86
211.875,3.44,6.92
211.882,3.09,5.31
211.889,2.99,4.39
211.896,2.97,4.10
211.903,3.15,4.78
211.910,3.25,4.68
211.917,3.11,3.97
211.924,3.09,3.95
211.931,3.13,3.79
211.937,3.04,3.07
211.944,2.83,2.77
211.951,2.53,1.78
211.958,2.80,1.76
211.965,2.77,2.07
211.972,2.98,3.97
211.979,3.07,4.23
211.986,3.08,3.45
211.993,3.16,3.22
212.000,3.20,3.32
212.007,3.08,2.42
212.014,2.91,1.16
212.021,3.08,1.63
212.028,3.10,2.27
212.035,2.98,1.71
212.042,2.76,0.57
212.049,2.35,0.00
212.056,2.54,0.00
212.062,2.63,0.27
212.069,2.54,0.47
212.076,2.35,0.17
212.083,1.95,0.00
212.090,2.04,0.00
212.097,1.94,0.00
212.104,1.49,0.00
212.111,1.38,0.00
212.118,1.41,0.00
212.125,1.47,0.00
212.132,1.60,0.00
212.139,1.70,0.00
212.146,1.30,0.00
212.153,1.35,0.00
212.160,1.29,0.00
212.167,1.11,0.00
212.174,1.05,0.00
212.181,1.03,0.00
212.187,1.33,0.00
212.194,1.53,0.00
212.201,1.79,0.00
212.208,1.70,0.00
212.215,1.69,0.00
